FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot,Process,Data_Before_Filter,Data_After_Filter
FR0159,5.0,134.18,NQ-900S900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0159,5.0,134.18,NQC900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0159,5.0,134.18,TQ-900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0211,3.0,158.47,MQ-800M800B056P,8X8,QFN,PPF,175.0,40.0,,2,2
FR0211,3.0,158.47,NQ-800E800B056P,8X8,QFN,PPF,175.0,40.0,,2,2
FR0211,3.0,158.47,NQ-800M800B056D,8X8,QFN,PPF,175.0,40.0,,2,2
FR0211,3.0,158.47,NQ-800M800B056P,8X8,QFN,PPF,175.0,40.0,,2,2
FR0211,3.0,158.47,NQC800E800B056P,8X8,QFN,PPF,175.0,60.0,,2,2
FR0211,3.0,158.47,TQ-800E800B056P,8X8,QFN,PPF,175.0,40.0,,2,2
FR0211,3.0,158.47,TQ-800M800B056P,8X8,QFN,PPF,175.0,40.0,,2,2
FR0221,5.0,178.44,ND-500E600G008A,6X5,QFN,CU,385.0,40.0,,1,0
FR0221,5.0,178.44,ND-500E600G008K,6X5,QFN,CU,385.0,40.0,,1,0
FR0221,5.0,178.44,TD-500E600G008A,6X5,QFN,CU,385.0,40.0,,1,0
FR0221,5.0,178.44,TD-500S600G008A,6X5,QFN,CU,385.0,40.0,,1,0
FR0221,5.0,178.44,TD-500S600G008K,6X5,QFN,CU,385.0,40.0,,1,0
FR0221,5.0,178.44,TDC500E600G008A,6X5,QFN,CU,385.0,40.0,,1,0
FR0225,2.0,382.4,ND-400E400D008A,4X4,QFN,Cu,700.0,40.0,,2,2
FR0225,2.0,382.4,ND-400E400D008K,4X4,QFN,Cu,700.0,40.0,,2,2
FR0227,2.0,238.74,NQ-800E800C044A,8X8,QFN,Cu,175.0,40.0,,1,0
FR0227,2.0,238.74,NQ-800M800C044A,8X8,QFN,Cu,175.0,40.0,,1,0
FR0227,2.0,238.74,NQC800E800C044A,8X8,QFN,Cu,175.0,40.0,,1,0
FR0230,2.0,509.1,ND-300E300C008A,3X3,QFN,Cu,1170.0,30.0,,1,0
FR0230,2.0,509.1,ND-300E300C008K,3X3,QFN,Cu,1170.0,30.0,,1,0
FR0230,2.0,509.1,NDC300E300C008A,3X3,QFN,Cu,1170.0,30.0,,1,0
FR0249,3.0,232.55,ND-320E250P004P,2.5X3.2,QFN,PPF,1275.0,40.0,,2,2
FR0249,3.0,232.55,ND-320S250P004D,2.5X3.2,QFN,PPF,1275.0,30.0,,2,2
FR0249,3.0,232.55,ND-320S250P004P,2.5X3.2,QFN,PPF,1275.0,30.0,,2,2
FR0259,5.0,176.63,NQ-400E400B020A,4X4,QFN,CU,700.0,40.0,,12,11
FR0259,5.0,176.63,TQ-400E400B020A,4X4,QFN,CU,700.0,40.0,,12,11
FR0263,5.0,176.63,ND-400D400F008A,4X4,QFN,CU,700.0,40.0,,12,11
FR0263,5.0,176.63,ND-400E400F008A,4X4,QFN,CU,700.0,40.0,,12,11
FR0263,5.0,176.63,ND-400M400F008A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,NQ-400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,NQ-400M400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,NQ-400M400B024K,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,NQ-400S400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,NQC400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,TQ-400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,TQC400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0306,5.0,176.63,TQC400E400B024K,4X4,QFN,CU,700.0,40.0,,12,11
FR0370,5.0,159.15,NQ-400E500B028A,5X4,QFN,CU,550.0,40.0,,1,0
FR0370,5.0,159.15,TQ-400E500B028A,5X4,QFN,CU,550.0,40.0,,1,0
FR0370,5.0,159.15,TQ-400E500B028K,4X5,QFN,CU,550.0,40.0,,1,0
FR0370,5.0,159.15,TQ-400S500B028A,5X4,QFN,CU,550.0,40.0,,1,0
FR0370,5.0,159.15,TQC400E500B028K,4X5,QFN,CU,550.0,40.0,,1,0
FR0371,5.0,227.19,TQ-500E600B028A,6X5,QFN,CU,360.0,40.0,,4,4
FR0371,5.0,227.19,TQ-500M600B028A,6X5,QFN,CU,360.0,40.0,,4,4
FR0371,5.0,223.86,TQ-500M600B028K,5X6,QFN,CU,360.0,40.0,,7,6
FR0379,5.0,234.04,TQ-300E300B016C,3X3,QFN,CU,1170.0,18.0,,9,8
FR0379,5.0,234.04,TQ-300E300B016W,3X3,QFN,CU,1170.0,20.0,,9,8
FR0382,5.0,148.25,NQ-700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0382,5.0,148.69,TQ-700E7001048A,7X7,SLP,Cu,240.0,40.0,Full Cut,9,8
FR0382,5.0,148.25,TQ-700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0382,5.0,148.25,TQ-700E700B048K,7X7,QFN,CU,240.0,40.0,,6,5
FR0382,5.0,148.25,TQ-700M700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0383,5.0,134.18,TQ-900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0383,5.0,134.18,TQ-900E900B064K,9X9,QFN,CU,120.0,40.0,,4,4
FR0383,5.0,134.18,TQ-900M900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0383,5.0,134.18,TQ-900M900B064K,9X9,QFN,CU,120.0,40.0,,4,4
FR0437,5.0,159.63,TQ-500E700B038A,7X5,QFN,CU,320.0,40.0,,1,0
FR0437,5.0,159.63,TQ-500E700B038K,5X7,QFN,CU,320.0,40.0,,0,0
FR0437,5.0,159.63,TQ-500M700B038A,7X5,QFN,CU,320.0,40.0,,1,0
FR0437,5.0,159.63,TQC500E700B038A,7X5,QFN,CU,320.0,40.0,,1,0
FR0437,5.0,159.63,TQC500E700B038K,7X5,QFN,CU,320.0,40.0,,1,0
FR0445,5.0,165.72,NQ-600E600A048A,6X6,QFN,CU,315.0,40.0,,6,6
FR0445,5.0,165.72,NQ-600M600A048A,6X6,QFN,CU,315.0,40.0,,6,6
FR0445,5.0,165.72,NQC600E600A048A,6X6,QFN,CU,315.0,40.0,,6,6
FR0445,5.0,165.72,NQC600S600A048A,6X6,QFN,CU,315.0,40.0,,6,6
FR0445,5.0,165.72,NQC600S600A048K,6X6,QFN,CU,315.0,40.0,,6,6
FR0445,5.0,165.72,TQ-600E600A048A,6X6,QFN,CU,315.0,40.0,,6,6
FR0445,5.0,165.72,TQ-600S600A048A,6X6,QFN,CU,315.0,40.0,,6,6
FR0461,3.0,232.55,ND-320S250P004P,2.5X3.2,QFN,PPF,1275.0,30.0,,2,2
FR0461,3.0,232.55,TD-320S250P004P,2.5X3.2,QFN,PPF,1275.0,24.0,,2,2
FR0507,2.0,323.12,NQ-500E5001040A,5X5,SLP,Cu,440.0,40.0,,1,0
FR0507,2.0,323.12,NQ-500E500A040A,5X5,QFN,Cu,440.0,40.0,,0,0
FR0507,2.0,323.12,NQ-500E500A040K,5X5,QFN,Cu,440.0,40.0,,0,0
FR0507,2.0,323.12,NQC500E500A040A,5X5,QFN,Cu,440.0,40.0,,0,0
FR0507,2.0,323.12,NQC500E500A040K,5X5,QFN,Cu,440.0,40.0,,0,0
FR0507,2.0,323.12,NQC500S500A040K,5X5,QFN,Cu,440.0,40.0,,0,0
FR0507,2.0,323.12,TQC500E500A040A,5X5,QFN,Cu,440.0,40.0,,0,0
FR0507,2.0,323.12,UQC500E500A040A,5X5,QFN,Cu,440.0,30.0,,0,0
FR0515,5.0,223.44,NQ-500E500C024A,5X5,QFN,CU,440.0,40.0,,13,13
