FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
FR0227,5.0,153.94,NQ-800E800C044A
FR0227,5.0,153.94,NQ-800M800C044A
FR0227,5.0,153.94,NQC800E800C044A
FR0242,3.0,337.07,NQ-300E300B016D
FR0242,3.0,337.07,NQ-300E300B016P
FR0242,3.0,337.07,NQ-300S300B016P
FR0242,3.0,337.07,NQC300E300B016P
FR0242,3.0,337.07,TQ-300E300B016P
FR0249,3.0,336.6,ND-320E250P004P
FR0249,3.0,336.6,ND-320S250P004D
FR0249,3.0,336.6,ND-320S250P004P
FR0250,0.0,161.03,NQ-700E7001056A
FR0250,0.0,161.03,NQ-700E700A056A
FR0250,0.0,161.03,NQC700E7001056A
FR0250,0.0,161.03,NQC700E700A056A
FR0250,0.0,161.03,NQC700E700A056K
FR0250,0.0,161.03,TQ-700E700A056A
FR0250,5.0,172.54,NQ-700E7001056A
FR0250,5.0,172.54,NQ-700E700A056A
FR0250,5.0,172.54,NQC700E7001056A
FR0250,5.0,172.54,NQC700E700A056A
FR0250,5.0,172.54,NQC700E700A056K
FR0250,5.0,172.54,TQ-700E700A056A
FR0251,5.0,234.32,TD-300E3001010A
FR0251,5.0,234.32,TD-300E300B010A
FR0251,5.0,234.32,TD-300E300B010K
FR0251,5.0,234.32,TDC300E300B010A
FR0254,5.0,286.75,TQ-300E4001020A
FR0254,5.0,286.75,TQ-300E400B020A
FR0254,5.0,286.75,TQ-300E400B020K
FR0254,5.0,286.75,TQ-300S400B020A
FR0259,5.0,189.78,NQ-400E400B020A
FR0259,5.0,189.78,TQ-400E400B020A
FR0260,5.0,225.36,MQ-300E500B024K
FR0260,5.0,225.36,MQ-300M500B024K
FR0260,5.0,225.36,TQ-300E500B024A
FR0260,5.0,225.36,TQ-300E500B024K
FR0260,5.0,225.36,TQ-300M500B024A
FR0260,5.0,225.36,TQ-300M500B024K
FR0263,5.0,252.11,ND-400D400F008A
FR0263,5.0,252.11,ND-400E400F008A
FR0263,5.0,252.11,ND-400M400F008A
FR0268,5.0,190.65,NQ-600E600C028A
FR0268,5.0,190.65,NQ-600M600C028A
FR0268,5.0,190.65,NQ-600S600C028A
FR0268,5.0,190.65,NQC600E600C028A
FR0274,5.0,310.1,TD-300E200B008A
FR0274,5.0,310.1,TD-300E200B008K
FR0274,5.0,310.1,TDC300E200B008K
FR0290,5.0,262.0,TD-300E300B008A
FR0290,5.0,262.0,TD-300E300B008K
FR0293,3.0,239.81,ND-500S320R004D
FR0293,3.0,239.81,ND-500S320R004P
FR0306,5.0,261.59,NQ-400E400B024A
FR0306,5.0,261.59,NQ-400M400B024A
FR0306,5.0,261.59,NQ-400M400B024K
