FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
FRA204,5.0,270.46,JQP350E4501011N,3.5X4.5,SLP,,660.0,Full Cut,,
FRA205,5.0,285.08,NQC400S4001020U,4X4,SLP,,700.0,Full Cut,,
FRA213,5.0,273.03,NQ-700E700X048U,7X7,SFS,,240.0,,,
FRA215,5.0,230.5,NQC500E5001028K,5X5,SLP,,440.0,Full Cut,,
FRA219,5.0,331.27,NDC200E2001006K,2X2,SLP,Copper ,2470.0,Full Cut,2.0,2.0
FRV003,5.0,183.66,TQC500E600M039U,5X6,QFN,Copper ,360.0,,7.0,7.0
FRW006,2.0,324.93,NQ-300E400C016D,3X4,QFN,Full PPF,910.0,,1.0,1.0
FRW013,2.0,331.43,NQC900E9003064B,9X9,SLP,,120.0,,,
FRY001,5.0,183.66,TQ-500E600W039U,5X6,QFN,Copper ,360.0,,7.0,7.0
FU0003,3.0,480.11,UQ-140E180A010D,1.8X1.4,QFN,Full PPF,3600.0,,1.0,1.0
FU0029,3.0,258.26,UQ-500E500B032D,5X5,QFN,Full PPF,440.0,,12.0,12.0
FU0063,3.0,314.83,UD-650E250Z003P,2.5X6.5,QFN,Full PPF,675.0,,1.0,1.0
FU0126,3.0,274.95,UQ-300E300B016P,3X3,QFN,Full PPF,1170.0,,5.0,3.0
FU0186,3.0,271.11,UD-260E260B008D,2.6X2.6,QFN,Full PPF,1575.0,,1.0,1.0
FU0207,3.0,216.69,UQ-400E400B024P,4X4,QFN,Full PPF,700.0,,6.0,6.0
FU0242,3.0,258.26,IQC500E500A040P,5X5,QFN,Full PPF,440.0,,12.0,12.0
FU0256,5.0,437.62000000000006,XD-150E110B006C,1.5X1.1,QFN,Copper ,5270.0,,1.0,1.0
FU0301,5.0,484.2,XQ-125E210A012N,1.25X2.1,QFN,Copper ,3500.0,,1.0,1.0
FU0318,3.0,595.42,XD-150E110B006N,1.5X1.1,QFN,Full PPF,5270.0,,1.0,1.0
FU0331,3.0,385.21,UQ-200E200A016N,2X2,QFN,Full PPF,2470.0,,2.0,2.0
FU0334,5.0,516.4,UQ-110E150A010N,1.1X1.5,QFN,Copper ,5270.0,,1.0,1.0
FUF015,3.0,311.54,UQ-180E260A016P,2.6X1.8,QFN,Full PPF,2100.0,,1.0,1.0
FW0009,3.0,164.52,SQ-900E900Z100D,9X9,QFN,Full PPF,120.0,,3.0,3.0
nan_sp,3.0,172.19,,,NAN,,,,,
